epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.141,1.1386,1.7856,1.0849,0.95203,0.92405,0.97135,0.66947,1.0426,1.32033,1.08063,0.000664188,0.000664188,0.000664188
2,129.343,1.12676,0.98517,1.08796,0.94615,0.87342,0.93379,0.6498,1.04223,0.93271,1.10633,0.0013045,0.0013045,0.0013045
3,176.641,1.11404,0.79308,1.09329,0.9605,0.92343,0.974,0.67482,1.06092,0.8254,1.12984,0.00191842,0.00191842,0.00191842
4,223.589,1.1093,0.73473,1.09159,0.95892,0.94177,0.97424,0.63681,1.16,0.63941,1.16182,0.0018812,0.0018812,0.0018812
5,270.626,1.08034,0.69426,1.07765,0.94309,0.91646,0.97526,0.63625,1.05673,0.67388,1.11727,0.0018416,0.0018416,0.0018416
6,317.58,1.04639,0.65404,1.06457,0.97103,0.93351,0.9792,0.6639,1.04117,0.56397,1.09237,0.001802,0.001802,0.001802
7,364.502,1.03245,0.64083,1.05546,0.96672,0.95696,0.98617,0.71702,0.96838,0.56865,1.0695,0.0017624,0.0017624,0.0017624
8,411.554,1.0041,0.62283,1.04676,0.98229,0.95696,0.98668,0.70766,1.02443,0.53483,1.07953,0.0017228,0.0017228,0.0017228
9,458.766,0.99344,0.5975,1.03927,0.93838,0.96386,0.9798,0.73047,0.94413,0.55901,1.05418,0.0016832,0.0016832,0.0016832
10,505.814,0.98901,0.5909,1.03838,0.9567,0.95696,0.98028,0.72919,0.9476,0.53352,1.0654,0.0016436,0.0016436,0.0016436
11,552.893,0.96887,0.5734,1.03201,0.96479,0.97106,0.98835,0.71479,0.92909,0.50741,1.04968,0.001604,0.001604,0.001604
12,600.048,0.97314,0.56872,1.03106,0.96241,0.94937,0.97501,0.68765,1.01466,0.55956,1.10639,0.0015644,0.0015644,0.0015644
13,647.149,0.94078,0.55303,1.02016,0.99173,0.97722,0.99242,0.74348,0.92565,0.45026,1.04127,0.0015248,0.0015248,0.0015248
14,694.169,0.95652,0.55331,1.024,0.9923,0.96456,0.99337,0.72055,0.95655,0.48164,1.05317,0.0014852,0.0014852,0.0014852
15,741.435,0.94561,0.54081,1.02147,0.95987,0.97975,0.99078,0.72753,0.93769,0.47747,1.06792,0.0014456,0.0014456,0.0014456
16,788.543,0.93982,0.52887,1.01746,0.98184,0.97468,0.99201,0.74315,0.90449,0.44045,1.03095,0.001406,0.001406,0.001406
17,835.784,0.92766,0.52326,1.01425,0.99445,0.98481,0.99422,0.74268,0.91413,0.44167,1.05165,0.0013664,0.0013664,0.0013664
18,883.1,0.92696,0.52122,1.00682,0.9824,0.9894,0.99409,0.73643,0.9316,0.45721,1.05462,0.0013268,0.0013268,0.0013268
19,930.236,0.90287,0.49465,0.99766,0.97916,0.98481,0.99426,0.74105,0.91324,0.42669,1.04491,0.0012872,0.0012872,0.0012872
20,977.431,0.90029,0.49672,1.00338,0.98722,0.97748,0.99321,0.75761,0.90468,0.42684,1.03994,0.0012476,0.0012476,0.0012476
21,1024.46,0.91081,0.50009,1.00991,0.9835,0.98734,0.9939,0.75419,0.91181,0.42789,1.05494,0.001208,0.001208,0.001208
22,1071.57,0.90098,0.49058,1.00059,0.98225,0.98057,0.99182,0.74001,0.90545,0.44412,1.06837,0.0011684,0.0011684,0.0011684
23,1118.54,0.89225,0.49005,1.00053,0.99316,0.98987,0.99482,0.74084,0.94075,0.42188,1.06282,0.0011288,0.0011288,0.0011288
24,1165.83,0.8706,0.47541,0.98701,0.99108,0.97975,0.99158,0.72415,0.96623,0.41767,1.06213,0.0010892,0.0010892,0.0010892
25,1213.06,0.86752,0.4683,0.98524,0.98521,0.98481,0.99453,0.76392,0.88012,0.40561,1.04169,0.0010496,0.0010496,0.0010496
26,1260.18,0.87318,0.46799,0.98807,0.98984,0.98706,0.99383,0.76199,0.8828,0.40109,1.03612,0.00101,0.00101,0.00101
27,1307.19,0.86883,0.46588,0.99055,0.98994,0.98481,0.99462,0.76305,0.86573,0.3998,1.03153,0.0009704,0.0009704,0.0009704
28,1354.08,0.856,0.45674,0.97816,0.9949,0.98726,0.9948,0.75196,0.89613,0.42351,1.04133,0.0009308,0.0009308,0.0009308
29,1401.09,0.85055,0.46112,0.98062,0.99572,0.98481,0.99365,0.75211,0.89285,0.3879,1.03787,0.0008912,0.0008912,0.0008912
30,1448.16,0.85143,0.45293,0.9782,0.9939,0.98987,0.99457,0.77052,0.85377,0.39263,1.02382,0.0008516,0.0008516,0.0008516
31,1495.12,0.83227,0.44158,0.97402,0.99377,0.98734,0.99467,0.77841,0.85208,0.38382,1.01789,0.000812,0.000812,0.000812
32,1542.21,0.83402,0.44486,0.97559,0.99349,0.98734,0.99363,0.77067,0.84082,0.38382,1.01703,0.0007724,0.0007724,0.0007724
33,1589.38,0.82242,0.42921,0.96933,0.99236,0.98605,0.99414,0.74983,0.87911,0.37982,1.03747,0.0007328,0.0007328,0.0007328
34,1636.47,0.82147,0.43208,0.97272,0.9949,0.9878,0.99434,0.76859,0.87073,0.38515,1.0356,0.0006932,0.0006932,0.0006932
