epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0264,1.1386,1.7856,1.0849,0.95135,0.92405,0.97129,0.66979,1.04248,1.0228,1.08065,0.000664188,0.000664188,0.000664188
2,130.309,1.12676,0.98517,1.08796,0.94615,0.87342,0.93374,0.6499,1.04174,0.83498,1.10618,0.0013045,0.0013045,0.0013045
3,178.383,1.11404,0.79308,1.09329,0.95918,0.92405,0.97404,0.67455,1.06129,0.79093,1.12994,0.00191842,0.00191842,0.00191842
4,225.906,1.1093,0.73473,1.09159,0.9593,0.94177,0.97424,0.63656,1.15981,0.62199,1.16168,0.0018812,0.0018812,0.0018812
5,273.544,1.08034,0.69426,1.07765,0.94316,0.91646,0.97527,0.63775,1.05631,0.65752,1.11712,0.0018416,0.0018416,0.0018416
6,321.419,1.04639,0.65404,1.06457,0.97,0.93418,0.97924,0.66308,1.04102,0.55667,1.09229,0.001802,0.001802,0.001802
7,369.399,1.03245,0.64083,1.05546,0.96766,0.95696,0.98619,0.71842,0.96813,0.56223,1.06928,0.0017624,0.0017624,0.0017624
8,417.311,1.0041,0.62283,1.04676,0.98229,0.95696,0.98671,0.70802,1.02423,0.52798,1.07931,0.0017228,0.0017228,0.0017228
9,465.35,0.99344,0.5975,1.03927,0.93838,0.96379,0.97981,0.73057,0.94413,0.55151,1.05416,0.0016832,0.0016832,0.0016832
10,513.614,0.98901,0.5909,1.03838,0.95668,0.95696,0.98033,0.72887,0.948,0.52642,1.06526,0.0016436,0.0016436,0.0016436
11,561.476,0.96887,0.5734,1.03201,0.96481,0.97178,0.98837,0.7151,0.9294,0.50396,1.04971,0.001604,0.001604,0.001604
12,609.517,0.97314,0.56872,1.03106,0.96231,0.94937,0.97513,0.68884,1.01437,0.5554,1.10623,0.0015644,0.0015644,0.0015644
13,657.51,0.94078,0.55303,1.02016,0.99183,0.97722,0.99242,0.74379,0.92566,0.44716,1.04125,0.0015248,0.0015248,0.0015248
14,705.485,0.95652,0.55331,1.024,0.99237,0.96456,0.99337,0.72049,0.9567,0.47848,1.05316,0.0014852,0.0014852,0.0014852
15,753.502,0.94561,0.54081,1.02147,0.9599,0.97975,0.99076,0.72648,0.93765,0.47446,1.06789,0.0014456,0.0014456,0.0014456
16,801.257,0.93982,0.52887,1.01746,0.98185,0.97468,0.99199,0.74324,0.90474,0.43931,1.031,0.001406,0.001406,0.001406
17,849.145,0.92766,0.52326,1.01425,0.99445,0.98481,0.99422,0.74298,0.91434,0.43893,1.05176,0.0013664,0.0013664,0.0013664
18,896.944,0.92696,0.52122,1.00682,0.9824,0.9894,0.99409,0.73643,0.93188,0.45533,1.05459,0.0013268,0.0013268,0.0013268
19,945.106,0.90287,0.49465,0.99766,0.97945,0.98481,0.99426,0.74125,0.91293,0.4246,1.04464,0.0012872,0.0012872,0.0012872
20,993.17,0.90029,0.49672,1.00338,0.98722,0.97813,0.99321,0.75848,0.90463,0.42431,1.03995,0.0012476,0.0012476,0.0012476
21,1041.17,0.91081,0.50009,1.00991,0.98352,0.98734,0.9939,0.75505,0.91195,0.42587,1.05493,0.001208,0.001208,0.001208
22,1090.04,0.90098,0.49058,1.00059,0.98225,0.98054,0.99179,0.73941,0.90549,0.4416,1.06838,0.0011684,0.0011684,0.0011684
23,1138.45,0.89225,0.49005,1.00053,0.99322,0.98987,0.99482,0.74096,0.94059,0.41972,1.06273,0.0011288,0.0011288,0.0011288
24,1186.32,0.8706,0.47541,0.98701,0.99108,0.97975,0.99157,0.7239,0.96611,0.41626,1.06211,0.0010892,0.0010892,0.0010892
25,1234.25,0.86752,0.4683,0.98524,0.98525,0.98481,0.99453,0.76381,0.88034,0.40464,1.04169,0.0010496,0.0010496,0.0010496
26,1282.11,0.87318,0.46799,0.98807,0.98984,0.98706,0.99384,0.76222,0.8827,0.39997,1.03614,0.00101,0.00101,0.00101
27,1330.05,0.86883,0.46588,0.99055,0.98994,0.98481,0.99462,0.76263,0.86587,0.39911,1.03157,0.0009704,0.0009704,0.0009704
28,1377.89,0.856,0.45674,0.97816,0.9949,0.98726,0.99477,0.75146,0.89619,0.42247,1.0413,0.0009308,0.0009308,0.0009308
29,1425.88,0.85055,0.46112,0.98062,0.99569,0.98481,0.99365,0.75186,0.89285,0.38672,1.03774,0.0008912,0.0008912,0.0008912
30,1473.65,0.85143,0.45293,0.9782,0.9939,0.98987,0.99457,0.77038,0.85373,0.39122,1.02385,0.0008516,0.0008516,0.0008516
31,1521.38,0.83227,0.44158,0.97402,0.99367,0.98734,0.99467,0.77822,0.85206,0.383,1.01805,0.000812,0.000812,0.000812
32,1568.91,0.83402,0.44486,0.97559,0.9936,0.98734,0.99365,0.77006,0.84059,0.3835,1.01697,0.0007724,0.0007724,0.0007724
33,1616.36,0.82242,0.42921,0.96933,0.99184,0.98734,0.99414,0.74989,0.87912,0.37853,1.03742,0.0007328,0.0007328,0.0007328
34,1664.51,0.82147,0.43208,0.97272,0.9949,0.98786,0.99434,0.7697,0.87058,0.38453,1.03562,0.0006932,0.0006932,0.0006932
35,1712.65,0.81304,0.42391,0.97137,0.99186,0.98734,0.9946,0.7626,0.86281,0.37113,1.02186,0.0006536,0.0006536,0.0006536
36,1760.97,0.81809,0.422,0.96874,0.99134,0.98734,0.99402,0.78004,0.83814,0.36008,1.01721,0.000614,0.000614,0.000614
37,1808.98,0.80222,0.41503,0.96324,0.99238,0.98903,0.99443,0.77563,0.85048,0.37581,1.03198,0.0005744,0.0005744,0.0005744
38,1857.62,0.8,0.42134,0.96566,0.99236,0.98669,0.99395,0.76959,0.86657,0.38915,1.03004,0.0005348,0.0005348,0.0005348
39,1906,0.80211,0.41285,0.96141,0.99931,0.98987,0.99449,0.75454,0.88414,0.37809,1.04632,0.0004952,0.0004952,0.0004952
40,1954.19,0.78914,0.40669,0.96059,0.99561,0.98481,0.99485,0.7801,0.84312,0.35322,1.01961,0.0004556,0.0004556,0.0004556
41,2002.94,0.73456,0.35331,0.93564,0.99486,0.98734,0.99437,0.77523,0.83192,0.36947,1.01253,0.000416,0.000416,0.000416
42,2050.58,0.72375,0.34289,0.93276,0.99411,0.98734,0.99467,0.77689,0.85351,0.37484,1.031,0.0003764,0.0003764,0.0003764
43,2098.28,0.72473,0.34505,0.93838,0.99443,0.98987,0.99439,0.7795,0.8204,0.36621,1.01636,0.0003368,0.0003368,0.0003368
44,2146.06,0.71207,0.3352,0.92534,0.99515,0.98481,0.99433,0.78169,0.82227,0.3581,1.01651,0.0002972,0.0002972,0.0002972
45,2194.11,0.70401,0.32991,0.92756,0.99952,0.98734,0.99358,0.76866,0.8468,0.36998,1.0256,0.0002576,0.0002576,0.0002576
46,2242.03,0.69693,0.32223,0.92237,0.9954,0.98987,0.99447,0.78097,0.81918,0.35834,1.01574,0.000218,0.000218,0.000218
47,2289.84,0.68748,0.31775,0.9179,0.99824,0.98987,0.99463,0.77477,0.83852,0.3598,1.02426,0.0001784,0.0001784,0.0001784
48,2337.98,0.68166,0.31548,0.91795,0.99925,0.98734,0.99468,0.78119,0.82413,0.35496,1.02241,0.0001388,0.0001388,0.0001388
49,2385.91,0.6708,0.31084,0.91661,0.99845,0.98734,0.99447,0.7864,0.81884,0.34523,1.01355,9.92e-05,9.92e-05,9.92e-05
50,2433.43,0.66089,0.30574,0.90559,0.99732,0.98987,0.99438,0.78086,0.81721,0.33689,1.01314,5.96e-05,5.96e-05,5.96e-05
